Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
AXISBANK,1869.0,1869.0,1824.0,1836.15,778118,2014-05-30,0
HDFCBANK,793.5,822.35,793.5,819.4,2020783,2014-06-02,1
ICICIBANK,1411.25,1470.0,1410.1,1464.2,2751951,2014-06-02,1
AXISBANK,1832.25,1907.0,1822.55,1900.85,1190952,2014-06-02,1
HDFCBANK,823.0,827.85,814.0,824.35,906037,2014-06-03,1
ICICIBANK,1462.2,1477.7,1440.05,1458.35,3588469,2014-06-03,0
AXISBANK,1909.9,1924.9,1888.0,1899.65,1200037,2014-06-03,0
ICICIBANK,1459.9,1486.55,1444.0,1469.4,2341856,2014-06-04,1
HDFCBANK,822.4,829.7,815.1,816.7,716085,2014-06-04,0
AXISBANK,1892.0,1933.0,1881.1,1924.7,821940,2014-06-04,1
ICICIBANK,1447.0,1471.0,1437.35,1463.15,3830742,2014-06-05,0
AXISBANK,1925.0,1950.0,1917.0,1946.35,1084577,2014-06-05,1
HDFCBANK,811.8,815.4,801.0,805.45,1918618,2014-06-05,0
ICICIBANK,1472.6,1503.35,1460.0,1486.3,3889258,2014-06-06,1
HDFCBANK,813.0,821.0,801.0,815.25,2641319,2014-06-06,1
AXISBANK,1955.4,1983.5,1945.1,1973.6,809562,2014-06-06,1
ICICIBANK,1486.15,1511.7,1483.5,1492.2,3855080,2014-06-09,1
HDFCBANK,821.9,830.0,815.0,819.45,2334980,2014-06-09,1
AXISBANK,1985.0,1989.6,1960.9,1967.25,788492,2014-06-09,0
ICICIBANK,1492.5,1492.5,1474.0,1481.25,1884442,2014-06-10,0
HDFCBANK,821.15,823.6,810.0,816.65,1249836,2014-06-10,0
AXISBANK,1968.0,1969.35,1925.3,1932.5,843749,2014-06-10,0
ICICIBANK,1478.0,1502.1,1460.0,1469.9,2318042,2014-06-11,0
HDFCBANK,817.0,829.85,810.0,820.5,1935943,2014-06-11,1
AXISBANK,1936.05,1968.5,1928.0,1940.8,974072,2014-06-11,1
AXISBANK,1924.0,1928.0,1892.45,1902.75,838530,2014-06-12,0
HDFCBANK,824.5,844.95,812.85,839.85,3183012,2014-06-12,1
ICICIBANK,1470.0,1474.0,1448.15,1459.4,2143396,2014-06-12,0
ICICIBANK,1462.3,1479.0,1421.6,1428.35,3051395,2014-06-13,0
AXISBANK,1899.0,1907.9,1810.7,1818.0,1255370,2014-06-13,0
HDFCBANK,844.0,856.0,831.65,835.4,3053221,2014-06-13,0
HDFCBANK,831.0,842.8,830.3,839.0,1327470,2014-06-16,1
ICICIBANK,1423.6,1429.0,1401.0,1413.95,2379850,2014-06-16,0
AXISBANK,1812.0,1822.0,1750.0,1773.1,1370397,2014-06-16,0
AXISBANK,1770.0,1848.0,1760.55,1839.6,1598198,2014-06-17,1
